TS,V1,V2,V3,W1,W2,W3
1498246200,233.65677176580132,234.66546821591888,235.47584249104185,0.0,0.0,0.0
1498249800,234.8682854076216,236.82076959891705,235.88948877919597,0.0,0.0,0.0
1498253400,234.65323748341842,236.77866868099412,235.96511786107376,0.0,0.0,0.0
1498257000,233.7401604669128,235.86867040455883,234.41385643021763,0.0031171237925683333,0.009351371526716667,0.4697543843586666
1498260600,234.98651053415486,237.60294345069642,235.95224568200385,0.0,0.0,0.0
1498264200,232.85150904872964,235.39425989837554,234.7023943375966,0.0,0.0,0.0
1498267800,231.5142961310214,233.7886955366644,232.55838403946711,0.0,0.0,0.0
1498271400,235.99485975023498,238.62960224377247,237.8486324562857,0.005737436215083334,0.017212308446566668,0.936393216451
1498275000,232.43789320258568,234.59943043376282,235.21109555918338,0.0,0.0,0.0
1498278600,229.57193885029616,232.3628415359882,230.88272746941539,0.0,0.0,0.0
1498282200,227.52686558645775,230.13639601448017,230.61304290899258,0.005105747183166667,0.015317241350799999,0.6698770523069999
1498285800,234.57834499849102,237.17746388654254,235.43588716109917,0.0,0.0,0.0
1498289400,238.539716949173,241.4999623176957,241.01426052250486,0.0,0.0,0.0
1498293000,229.17259937487958,231.9443684957008,240.68744813230325,0.014181867043180002,0.04254560093083333,2.316681187950001
1498296600,237.35351979757885,238.910389913531,239.39962384799227,0.0,0.0,0.0
1498300200,233.1335154932674,234.94851275851607,241.17555433602558,0.008544133504233335,0.02563240071135,1.3306665802001665
1498303800,238.76399872486041,240.37167817062482,240.88177900931228,0.0,0.0,0.0
1498307400,235.75290986540142,239.23366644285397,238.52452737426796,0.009406914015611667,0.02822074254355,1.1498096593220002
1498311000,241.28791343092223,243.8865559895909,242.95393398994014,0.0,0.0,0.0
1498314600,241.61731529236118,244.5032904185952,244.24367181081942,0.0,0.0,0.0
1498318200,235.5090121045086,241.21512918985024,243.74937402418564,0.009309979975225001,0.027929940223700007,1.2699178314216668
1498321800,237.61453559976715,240.37952012282054,242.86249768335082,0.013162198662759998,0.039486595789583336,2.6291368103033337
1498325400,228.93543691260263,230.7985566217116,232.6089277324394,0.0009240762392683332,0.0027722287178,0.1493393325805
1498329000,231.39296844633202,232.4723508011987,235.19804485464425,0.002970768709978333,0.008912306229266668,0.5253820165
1498332600,235.95242069442835,237.73479932806362,237.4419046531175,0.0,0.0,0.0
1498336200,237.72378546142394,240.22964700317615,238.74258511352198,0.0,0.0,0.0
1498339800,240.092934570312,242.47365853881993,241.107817840574,0.0,0.0,0.0
1498343400,240.74453506468004,243.27634570312043,241.74155233764995,0.0,0.0,0.0
1498347000,237.7861938246125,239.97830045789289,243.33321768142858,0.006188370784125002,0.018565112153666668,0.8172643280031667
1498350600,238.70724311313083,241.15899415519073,242.99085598107743,0.0035491612553583338,0.010647483865400003,0.4670647939045
1498354200,239.2343655647024,241.21489723099427,240.608530349278,0.0008809136350949999,0.0026427410046333333,0.11546974182133334
1498357800,236.73993476986325,240.2803025321308,237.868900510992,0.0,0.0,0.0
1498361400,230.99739583017373,233.99042045335187,235.04853902708754,0.006905708710351666,0.020717126131083334,0.7998939641316667
1498365000,228.17957307425831,231.15181221022846,229.82959406038162,0.0,0.0,0.0
1498368600,229.81950247714119,232.46425494918515,231.7618982079525,0.0,0.0,0.0
1498372200,233.93893202067002,235.0586427722764,235.25776095987092,0.0,0.0,0.0
1498375800,237.54844134655082,238.66266748871587,237.42296143792245,0.0,0.0,0.0
1498379400,236.2223678770792,239.45439611164682,238.0473823244543,0.0,0.0,0.0
1498383000,236.53387513755482,239.47844034433,237.9871369898475,0.0,0.0,0.0
1498386600,236.60713037740032,239.00005723564345,238.71014379978882,0.0,0.0,0.0
1498390200,236.9445908169088,239.4758471267077,238.61232828854457,0.0,0.0,0.0
1498393800,235.9461326523964,238.34506833530136,237.24301177559582,0.0,0.0,0.0
1498397400,233.60273705980552,236.43975927930268,235.6553533397414,0.0,0.0,0.0
1498401000,233.15638831862896,235.9825324477076,234.911005207443,0.0010752900441483334,0.00322587013245,0.113727607727
1498404600,235.31104038521875,238.05314902266343,236.14040275371158,0.0,0.0,0.0
1498408200,234.67431172990936,236.17458380125004,240.04967623900586,0.005538761615753333,0.01661628464858333,0.8504988479616666
1498411800,238.52724307809268,240.67621075332585,240.0996914173235,0.0,0.0,0.0
1498415400,239.48832281494182,242.26059298703987,241.045189270014,0.0,0.0,0.0
1498419000,241.61200296023208,244.57088024902401,243.18328485105016,0.0,0.0,0.0
1498422600,240.04845739408142,243.30562957095643,241.64640886977955,0.0,0.0,0.0
1498426200,241.2296369211749,243.9409323282224,242.96950265701167,0.0,0.0,0.0
1498429800,241.97280222880025,244.637685109501,243.70468084825131,0.0,0.0,0.0
1498433400,239.43390172540816,242.08357681668568,242.85929006042542,0.0017715109388033335,0.005314532717066667,0.29526339213066666
1498437000,235.19011215685023,238.12981743491315,241.50819755824887,0.005228765606878333,0.015686296820633334,0.868406194051
1498440600,234.06372757260547,235.4238622292992,234.69035102266952,0.0,0.0,0.0
1498444200,231.7287198860796,234.0331444911337,233.51690017273688,0.0,0.0,0.0
1498447800,236.02458178781933,238.64231642007562,238.132291820352,0.0,0.0,0.0
1498451400,232.98385957194088,235.1195964324201,234.63837897847918,0.0,0.0,0.0
1498455000,234.4227989166216,237.8033616571253,237.49224841355183,0.0,0.0,0.0
1498458600,238.03684778707745,240.8812477446216,240.0824600766894,0.0,0.0,0.0
1498462200,231.57438708204342,233.09216187251877,233.90735509428046,0.0,0.0,0.0
1498465800,227.9163885442769,230.20912359241143,228.50238061474445,0.0020052991807449996,0.006015897591916667,0.21293986638400003
1498469400,229.77229163179672,230.936295771526,232.2442310834681,0.0,0.0,0.0
1498473000,223.17759640618098,225.38981476135143,232.2464557883776,0.009707776010038333,0.02912332812945,1.4289423878988332
1498476600,230.2086458727213,232.514317343096,232.78798372492798,0.0009137594203166666,0.002741278211275,0.20788391113283333
1498480200,222.707310912271,225.25536683831902,233.19278206391425,0.0050773646185780005,0.015232093880574999,0.7910145060220001
1498483800,229.95706761525543,232.3773486047805,231.5691299895326,0.0,0.0,0.0
1498487400,232.26736340333028,235.42457528686612,234.41071990968,0.0,0.0,0.0
1498491000,235.46389344113567,237.8082250416126,237.3483297686848,0.0,0.0,0.0
1498494600,234.10295686558536,236.96487588177868,240.14556836034927,0.006796486477056667,0.02038945953051667,1.0625447209666667
1498498200,238.671617614764,241.93548971559224,241.10259640502187,0.0,0.0,0.0
1498501800,241.4344174819302,244.17769742630216,243.04952748110526,0.0,0.0,0.0
1498505400,241.2667959527953,244.29743921116517,242.271239748998,0.0,0.0,0.0
